Luminosity,Temperature,Humidity,Infrared,Distance,CreatedAt,IsAlarm
100,109.52,48,34,13,03/08/2020 15:06:05,Yes
100,94.05,48,34,15,03/08/2020 15:06:06,Yes
100,96.63,48,34,14,03/08/2020 15:06:07,Yes
100,99.53,48,34,22,03/08/2020 15:06:08,Yes
73.63,27.67,48,24,67,03/08/2020 15:06:09,No
73.05,27.67,48,25,78,03/08/2020 15:06:10,No
72.95,27.34,48,26,56,03/08/2020 15:06:11,No
75.59,27.67,48,23,34,03/08/2020 15:06:12,No
73.73,27.34,45,24,32,03/08/2020 15:06:13,No
75.29,27.34,45,24,23,03/08/2020 15:06:14,No
11.82,24.77,45,25,400,03/08/2020 15:06:15,No
12.11,25.09,45,26,400,03/08/2020 15:06:16,No
12.01,25.09,45,23,400,03/08/2020 15:06:17,No
12.11,25.09,45,24,400,03/08/2020 15:06:18,No
12.01,25.09,45,24,400,03/08/2020 15:06:19,No
12.21,24.77,45,25,400,03/08/2020 15:06:20,No
11.33,25.09,45,26,400,03/08/2020 15:06:21,No
13.09,25.09,45,23,400,03/08/2020 15:06:22,No
11.91,25.09,42,24,400,03/08/2020 15:06:23,No
11.72,24.44,42,24,400,03/08/2020 15:06:24,No
12.11,25.09,42,25,400,03/08/2020 15:06:25,No
12.3,25.09,42,26,400,03/08/2020 15:06:26,No
10.94,25.09,42,23,400,03/08/2020 15:06:27,No
11.91,25.41,42,24,400,03/08/2020 15:06:28,No
11.04,25.09,42,24,400,03/08/2020 15:06:29,No
11.82,25.41,42,25,400,03/08/2020 15:06:30,No
11.43,25.41,42,26,400,03/08/2020 15:06:31,No
11.33,25.41,42,23,400,03/08/2020 15:06:32,No
11.82,25.09,42,24,400,03/08/2020 15:06:33,No
10.74,24.77,42,24,400,03/08/2020 15:06:34,No
9.28,25.41,42,25,400,03/08/2020 15:06:35,No
11.91,24.77,42,26,400,03/08/2020 15:06:36,No
11.91,25.09,48,23,400,03/08/2020 15:06:37,No
12.11,25.09,48,24,92.82,03/08/2020 15:06:38,No
12.11,25.09,48,24,400,03/08/2020 15:06:39,No
11.82,25.09,48,25,77.05,03/08/2020 15:06:40,No
12.11,25.09,48,26,400,03/08/2020 15:06:41,No
12.6,25.09,48,23,400,03/08/2020 15:06:42,No
11.91,25.09,48,24,400,03/08/2020 15:06:43,No
11.13,25.09,48,24,77.03,03/08/2020 15:06:44,No
12.11,25.09,48,25,400,03/08/2020 15:06:45,No
11.91,25.09,48,26,400,03/08/2020 15:06:46,No
13.18,25.09,48,23,400,03/08/2020 15:06:47,No
11.91,25.09,48,24,400,03/08/2020 15:06:48,No
12.5,24.77,48,24,400,03/08/2020 15:06:49,No
12.3,24.77,48,25,400,03/08/2020 15:06:50,No
12.4,25.09,48,26,400,03/08/2020 15:06:51,No
11.91,25.09,48,23,400,03/08/2020 15:06:52,No
12.11,25.09,48,24,400,03/08/2020 15:06:53,No
12.3,25.09,48,24,400,03/08/2020 15:06:54,No
13.48,24.77,45,25,400,03/08/2020 15:06:55,No
12.11,25.09,45,26,400,03/08/2020 15:06:56,No
12.21,25.09,45,23,400,03/08/2020 15:06:57,No
12.4,24.77,45,24,400,03/08/2020 15:06:58,No
11.43,24.77,45,24,400,03/08/2020 15:06:59,No
12.99,25.09,45,25,400,03/08/2020 15:07:00,No
12.3,25.09,45,26,55,03/08/2020 15:07:01,No
12.11,25.09,45,23,400,03/08/2020 15:07:02,No
12.3,25.09,45,24,400,03/08/2020 15:07:03,No
12.21,25.09,45,24,400,03/08/2020 15:07:04,No
12.11,25.09,42,25,400,03/08/2020 15:07:05,No
12.01,25.09,42,26,400,03/08/2020 15:07:06,No
12.3,25.09,42,23,55,03/08/2020 15:07:07,No
12.21,25.09,42,24,400,03/08/2020 15:07:08,No
12.4,25.09,42,24,400,03/08/2020 15:07:09,No
12.01,25.09,42,25,400,03/08/2020 15:07:10,No
12.4,24.44,42,26,400,03/08/2020 15:07:11,No
12.5,24.77,42,23,400,03/08/2020 15:07:12,No
12.6,25.09,42,24,343,03/08/2020 15:07:13,No
12.5,25.09,42,24,400,03/08/2020 15:07:14,No
12.5,24.77,42,25,400,03/08/2020 15:07:15,No
17.48,24.77,42,26,400,03/08/2020 15:07:16,No
8.2,24.77,42,23,400,03/08/2020 15:07:17,No
12.4,25.09,42,24,400,03/08/2020 15:07:18,No
12.79,25.09,48,24,400,03/08/2020 15:07:19,No
12.6,25.09,48,25,400,03/08/2020 15:07:20,No
12.3,25.09,48,26,400,03/08/2020 15:07:21,No
12.6,24.77,48,23,400,03/08/2020 15:07:22,No
12.6,24.44,48,24,89.11,03/08/2020 15:07:23,No
14.06,24.77,48,24,400,03/08/2020 15:07:24,No
13.96,24.77,48,24,400,03/08/2020 15:07:25,No
12.89,25.09,48,24,400,03/08/2020 15:07:26,No
100,56.03,48,34,22,03/08/2020 15:07:27,No
100,112,48,34,21,03/08/2020 15:07:28,Yes
100,131,48,34,21,03/08/2020 15:07:29,Yes
100,144,48,34,22,03/08/2020 15:07:30,Yes
100,121,48,34,21,03/08/2020 15:07:31,Yes
100,111,48,34,16,03/08/2020 15:07:32,Yes
100,101,48,34,19,03/08/2020 15:07:33,Yes
100,47.97,48,34,19,03/08/2020 15:07:34,Yes
100,50.87,48,34,22,03/08/2020 15:07:35,Yes
100,63.79,48,34,22,03/08/2020 15:07:36,Yes
100,64.43,45,34,22,03/08/2020 15:07:37,Yes
100,52.82,45,34,22,03/08/2020 15:07:38,Yes
100,112,45,34,15,03/08/2020 15:07:39,Yes
100,131,45,34,22,03/08/2020 15:07:40,Yes
100,144,45,34,21,03/08/2020 15:07:41,Yes
100,121,45,34,21,03/08/2020 15:07:42,Yes
100,111,45,34,22,03/08/2020 15:07:43,Yes
100,101,45,34,16,03/08/2020 15:07:44,Yes
100,76.65,45,34,18,03/08/2020 15:07:45,Yes
100,69.56,45,34,16,03/08/2020 15:07:46,Yes
100,58.6,42,34,19,03/08/2020 15:07:47,Yes
100,74.07,42,34,15,03/08/2020 15:07:48,Yes
100,42.81,42,34,22,03/08/2020 15:07:49,Yes
100,100.82,42,34,8,03/08/2020 15:07:50,Yes
100,56.03,42,34,12,03/08/2020 15:07:51,Yes
100,32.18,42,34,33,03/08/2020 15:07:52,Yes
100,47.97,42,34,23,03/08/2020 15:07:53,Yes
100,81.48,42,34,15,03/08/2020 15:07:54,Yes
100,55.7,42,34,22,03/08/2020 15:07:55,Yes
100,111,42,34,7.1,03/08/2020 15:07:56,Yes
100,88,42,34,23,03/08/2020 15:07:57,Yes
100,131,42,34,23,03/08/2020 15:07:58,Yes
